"Plot Title: IN_Depth"
"#","Date Time, GMT-10:00","Abs Pres, kPa (LGR S/N: 20810870, SEN S/N: 20810870)","Temp, °C (LGR S/N: 20810870, SEN S/N: 20810870)","Coupler Detached (LGR S/N: 20810870)","Coupler Attached (LGR S/N: 20810870)","Host Connected (LGR S/N: 20810870)","Stopped (LGR S/N: 20810870)","End Of File (LGR S/N: 20810870)"
1,07/17/26 07:00:00 AM,101.908,29.652,Logged,,,,
2,07/17/26 07:01:00 AM,101.923,29.552,,,,,
3,07/17/26 07:02:00 AM,101.923,29.552,,,,,
4,07/17/26 07:03:00 AM,101.941,29.552,,,,,
5,07/17/26 07:04:00 AM,101.941,29.552,,,,,
6,07/17/26 07:05:00 AM,101.920,29.452,,,,,
7,07/17/26 07:06:00 AM,101.938,29.452,,,,,
8,07/17/26 07:07:00 AM,101.917,29.352,,,,,
9,07/17/26 07:08:00 AM,101.917,29.352,,,,,
10,07/17/26 07:09:00 AM,101.917,29.352,,,,,
11,07/17/26 07:10:00 AM,102.079,29.352,,,,,
12,07/17/26 07:11:00 AM,102.363,29.252,,,,,
13,07/17/26 07:12:00 AM,102.393,29.053,,,,,
14,07/17/26 07:13:00 AM,102.405,28.853,,,,,
15,07/17/26 07:14:00 AM,102.381,28.655,,,,,
16,07/17/26 07:15:00 AM,102.336,28.357,,,,,
17,07/17/26 07:16:00 AM,102.223,28.159,,,,,
18,07/17/26 07:17:00 AM,102.184,28.060,,,,,
19,07/17/26 07:18:00 AM,102.163,27.961,,,,,
20,07/17/26 07:19:00 AM,102.145,27.961,,,,,
21,07/17/26 07:20:00 AM,102.199,27.961,,,,,
22,07/17/26 07:21:00 AM,102.160,27.862,,,,,
23,07/17/26 07:22:00 AM,102.178,27.862,,,,,
24,07/17/26 07:23:00 AM,102.160,27.862,,,,,
25,07/17/26 07:24:00 AM,102.175,27.764,,,,,
26,07/17/26 07:25:00 AM,102.175,27.764,,,,,
27,07/17/26 07:26:00 AM,102.175,27.764,,,,,
28,07/17/26 07:27:00 AM,102.175,27.764,,,,,
29,07/17/26 07:28:00 AM,102.193,27.764,,,,,
30,07/17/26 07:29:00 AM,102.193,27.764,,,,,
31,07/17/26 07:30:00 AM,102.196,27.862,,,,,
32,07/17/26 07:31:00 AM,102.196,27.862,,,,,
33,07/17/26 07:32:00 AM,102.196,27.862,,,,,
34,07/17/26 07:33:00 AM,102.214,27.862,,,,,
35,07/17/26 07:34:00 AM,102.214,27.862,,,,,
36,07/17/26 07:35:00 AM,102.214,27.862,,,,,
37,07/17/26 07:36:00 AM,102.217,27.961,,,,,
38,07/17/26 07:37:00 AM,102.235,27.961,,,,,
39,07/17/26 07:38:00 AM,102.238,28.060,,,,,
40,07/17/26 07:39:00 AM,102.256,28.060,,,,,
41,07/17/26 07:40:00 AM,102.256,28.060,,,,,
42,07/17/26 07:41:00 AM,102.256,28.060,,,,,
43,07/17/26 07:42:00 AM,102.256,28.060,,,,,
44,07/17/26 07:43:00 AM,102.238,28.060,,,,,
45,07/17/26 07:44:00 AM,102.256,28.060,,,,,
46,07/17/26 07:45:00 AM,102.238,28.060,,,,,
47,07/17/26 07:46:00 AM,102.256,28.060,,,,,
48,07/17/26 07:47:00 AM,102.256,28.060,,,,,
49,07/17/26 07:48:00 AM,102.256,28.060,,,,,
50,07/17/26 07:49:00 AM,102.238,28.060,,,,,
51,07/17/26 07:50:00 AM,102.238,28.060,,,,,
52,07/17/26 07:51:00 AM,102.238,28.060,,,,,
53,07/17/26 07:52:00 AM,102.238,28.060,,,,,
54,07/17/26 07:53:00 AM,102.256,28.060,,,,,
55,07/17/26 07:54:00 AM,102.256,28.060,,,,,
56,07/17/26 07:55:00 AM,102.256,28.060,,,,,
57,07/17/26 07:56:00 AM,102.238,28.060,,,,,
58,07/17/26 07:57:00 AM,102.238,28.060,,,,,
59,07/17/26 07:58:00 AM,102.238,28.060,,,,,
60,07/17/26 07:59:00 AM,102.238,28.060,,,,,
61,07/17/26 08:00:00 AM,102.273,28.060,,,,,
62,07/17/26 08:01:00 AM,102.256,28.060,,,,,
63,07/17/26 08:02:00 AM,102.238,28.060,,,,,
64,07/17/26 08:03:00 AM,102.238,28.060,,,,,
65,07/17/26 08:04:00 AM,102.238,28.060,,,,,
66,07/17/26 08:05:00 AM,102.238,28.060,,,,,
67,07/17/26 08:06:00 AM,102.238,28.060,,,,,
68,07/17/26 08:07:00 AM,102.238,28.060,,,,,
69,07/17/26 08:08:00 AM,102.238,28.060,,,,,
70,07/17/26 08:09:00 AM,102.256,28.060,,,,,
