"Plot Title: IN_Sal_Cal"
"#","Date Time, GMT-10:00","Low Range, μS/cm (LGR S/N: 20739335, SEN S/N: 20739335)","High Range, μS/cm (LGR S/N: 20739335, SEN S/N: 20739335)","Temp, °C (LGR S/N: 20739335, SEN S/N: 20739335)","Specific Conductance, μS/cm (LGR S/N: 20739335)","Coupler Detached (LGR S/N: 20739335)","End Of File (LGR S/N: 20739335)"
1,07/27/26 05:30:00 AM,0.0,0.0,26.10,,Logged,
2,07/27/26 05:30:01 AM,0.0,0.0,26.10,,,
3,07/27/26 05:30:02 AM,0.0,0.0,26.10,,,
4,07/27/26 05:30:03 AM,0.0,0.0,26.10,,,
5,07/27/26 05:30:04 AM,0.0,0.0,26.10,,,
6,07/27/26 05:30:05 AM,0.0,0.0,26.10,,,
7,07/27/26 05:30:06 AM,0.0,0.0,26.11,,,
8,07/27/26 05:30:07 AM,0.0,0.0,26.10,,,
9,07/27/26 05:30:08 AM,0.0,0.0,26.10,,,
10,07/27/26 05:30:09 AM,0.0,0.0,26.11,,,
11,07/27/26 05:30:10 AM,0.0,0.0,26.11,,,
12,07/27/26 05:30:11 AM,0.0,0.0,26.11,,,
13,07/27/26 05:30:12 AM,0.0,0.0,26.11,,,
14,07/27/26 05:30:13 AM,0.0,0.0,26.11,,,
15,07/27/26 05:30:14 AM,0.0,0.0,26.10,,,
16,07/27/26 05:30:15 AM,0.0,0.0,26.11,,,
17,07/27/26 05:30:16 AM,0.0,0.0,26.10,,,
18,07/27/26 05:30:17 AM,0.0,0.0,26.11,,,
19,07/27/26 05:30:18 AM,0.0,0.0,26.11,,,
20,07/27/26 05:30:19 AM,0.0,0.0,26.10,,,
21,07/27/26 05:30:20 AM,0.0,0.0,26.11,,,
22,07/27/26 05:30:21 AM,0.0,0.0,26.10,,,
23,07/27/26 05:30:22 AM,0.0,0.0,26.11,,,
24,07/27/26 05:30:23 AM,0.0,0.0,26.10,,,
25,07/27/26 05:30:24 AM,0.0,0.0,26.10,,,
26,07/27/26 05:30:25 AM,0.0,0.0,26.10,,,
27,07/27/26 05:30:26 AM,0.0,0.0,26.10,,,
28,07/27/26 05:30:27 AM,0.0,0.0,26.10,,,
29,07/27/26 05:30:28 AM,0.0,0.0,26.10,,,
30,07/27/26 05:30:29 AM,0.0,0.0,26.10,,,
31,07/27/26 05:30:30 AM,0.0,0.0,26.10,,,
32,07/27/26 05:30:31 AM,0.0,0.0,26.10,,,
33,07/27/26 05:30:32 AM,0.0,0.0,26.10,,,
34,07/27/26 05:30:33 AM,0.0,0.0,26.10,,,
35,07/27/26 05:30:34 AM,0.0,0.0,26.10,,,
36,07/27/26 05:30:35 AM,0.0,0.0,26.10,,,
37,07/27/26 05:30:36 AM,0.0,0.0,26.10,,,
38,07/27/26 05:30:37 AM,0.0,0.0,26.10,,,
39,07/27/26 05:30:38 AM,0.0,0.0,26.10,,,
40,07/27/26 05:30:39 AM,0.0,0.0,26.10,,,
41,07/27/26 05:30:40 AM,0.0,0.0,26.10,,,
42,07/27/26 05:30:41 AM,0.0,0.0,26.10,,,
43,07/27/26 05:30:42 AM,0.0,0.0,26.10,,,
44,07/27/26 05:30:43 AM,0.0,0.0,26.10,,,
45,07/27/26 05:30:44 AM,0.0,0.0,26.10,,,
46,07/27/26 05:30:45 AM,0.0,0.0,26.10,,,
47,07/27/26 05:30:46 AM,0.0,0.0,26.10,,,
48,07/27/26 05:30:47 AM,0.0,0.0,26.10,,,
49,07/27/26 05:30:48 AM,0.0,0.0,26.10,,,
50,07/27/26 05:30:49 AM,0.0,0.0,26.10,,,
51,07/27/26 05:30:50 AM,0.0,0.0,26.10,,,
52,07/27/26 05:30:51 AM,0.0,0.0,26.10,,,
53,07/27/26 05:30:52 AM,0.0,0.0,26.10,,,
54,07/27/26 05:30:53 AM,0.0,0.0,26.10,,,
55,07/27/26 05:30:54 AM,0.0,0.0,26.10,,,
56,07/27/26 05:30:55 AM,0.0,0.0,26.10,,,
57,07/27/26 05:30:56 AM,0.0,0.0,26.10,,,
58,07/27/26 05:30:57 AM,0.0,0.0,26.10,,,
59,07/27/26 05:30:58 AM,0.0,0.0,26.10,,,
60,07/27/26 05:30:59 AM,0.0,0.0,26.10,,,
61,07/27/26 05:31:00 AM,0.0,0.0,26.10,,,
62,07/27/26 05:31:01 AM,0.0,0.0,26.10,,,
63,07/27/26 05:31:02 AM,0.0,0.0,26.10,,,
64,07/27/26 05:31:03 AM,0.0,0.0,26.10,,,
65,07/27/26 05:31:04 AM,0.0,0.0,26.10,,,
66,07/27/26 05:31:05 AM,0.0,0.0,26.10,,,
67,07/27/26 05:31:06 AM,0.0,0.0,26.10,,,
68,07/27/26 05:31:07 AM,0.0,0.0,26.10,,,
69,07/27/26 05:31:08 AM,0.0,0.0,26.10,,,
70,07/27/26 05:31:09 AM,0.0,0.0,26.10,,,
71,07/27/26 05:31:10 AM,0.0,0.0,26.10,,,
72,07/27/26 05:31:11 AM,0.0,0.0,26.10,,,
73,07/27/26 05:31:12 AM,0.0,0.0,26.10,,,
74,07/27/26 05:31:13 AM,0.0,0.0,26.10,,,
75,07/27/26 05:31:14 AM,0.0,0.0,26.10,,,
76,07/27/26 05:31:15 AM,0.0,0.0,26.10,,,
77,07/27/26 05:31:16 AM,0.0,0.0,26.10,,,
78,07/27/26 05:31:17 AM,0.0,0.0,26.10,,,
79,07/27/26 05:31:18 AM,0.0,0.0,26.10,,,
80,07/27/26 05:31:19 AM,0.0,0.0,26.10,,,
81,07/27/26 05:31:20 AM,0.0,0.0,26.10,,,
82,07/27/26 05:31:21 AM,0.0,0.0,26.10,,,
83,07/27/26 05:31:22 AM,0.0,0.0,26.10,,,
84,07/27/26 05:31:23 AM,0.0,0.0,26.10,,,
85,07/27/26 05:31:24 AM,0.0,0.0,26.10,,,
86,07/27/26 05:31:25 AM,0.0,0.0,26.10,,,
87,07/27/26 05:31:26 AM,0.0,0.0,26.10,,,
88,07/27/26 05:31:27 AM,0.0,0.0,26.10,,,
89,07/27/26 05:31:28 AM,0.0,0.0,26.10,,,
90,07/27/26 05:31:29 AM,0.0,0.0,26.10,,,
91,07/27/26 05:31:30 AM,0.0,0.0,26.10,,,
92,07/27/26 05:31:31 AM,0.0,0.0,26.10,,,
93,07/27/26 05:31:32 AM,0.0,0.0,26.10,,,
94,07/27/26 05:31:33 AM,0.0,0.0,26.10,,,
95,07/27/26 05:31:34 AM,0.0,0.0,26.10,,,
96,07/27/26 05:31:35 AM,0.0,0.0,26.11,,,
97,07/27/26 05:31:36 AM,0.0,0.0,26.10,,,
98,07/27/26 05:31:37 AM,0.0,0.0,26.10,,,
99,07/27/26 05:31:38 AM,0.0,0.0,26.11,,,
100,07/27/26 05:31:39 AM,0.0,0.0,26.10,,,
101,07/27/26 05:31:40 AM,0.0,0.0,26.10,,,
102,07/27/26 05:31:41 AM,0.0,0.0,26.10,,,
103,07/27/26 05:31:42 AM,0.0,0.0,26.11,,,
104,07/27/26 05:31:43 AM,0.0,0.0,26.11,,,
105,07/27/26 05:31:44 AM,0.0,0.0,26.11,,,
106,07/27/26 05:31:45 AM,0.0,0.0,26.11,,,
107,07/27/26 05:31:46 AM,0.0,0.0,26.11,,,
108,07/27/26 05:31:47 AM,0.0,0.0,26.11,,,
109,07/27/26 05:31:48 AM,0.0,0.0,26.11,,,
110,07/27/26 05:31:49 AM,0.0,0.0,26.11,,,
111,07/27/26 05:31:50 AM,0.0,0.0,26.11,,,
112,07/27/26 05:31:51 AM,0.0,0.0,26.11,,,
113,07/27/26 05:31:52 AM,0.0,0.0,26.11,,,
114,07/27/26 05:31:53 AM,0.0,0.0,26.11,,,
115,07/27/26 05:31:54 AM,0.0,0.0,26.11,,,
116,07/27/26 05:31:55 AM,0.0,0.0,26.11,,,
117,07/27/26 05:31:56 AM,0.0,0.0,26.11,,,
118,07/27/26 05:31:57 AM,0.0,0.0,26.11,,,
119,07/27/26 05:31:58 AM,0.0,0.0,26.11,,,
120,07/27/26 05:31:59 AM,0.0,0.0,26.11,,,
121,07/27/26 05:32:00 AM,0.0,0.0,26.11,,,
122,07/27/26 05:32:01 AM,0.0,0.0,26.11,,,
123,07/27/26 05:32:02 AM,0.0,0.0,26.11,,,
124,07/27/26 05:32:03 AM,0.0,0.0,26.11,,,
125,07/27/26 05:32:04 AM,0.0,0.0,26.11,,,
126,07/27/26 05:32:05 AM,0.0,0.0,26.12,,,
127,07/27/26 05:32:06 AM,0.0,0.0,26.12,,,
128,07/27/26 05:32:07 AM,0.0,0.0,26.12,,,
129,07/27/26 05:32:08 AM,0.0,0.0,26.11,,,
130,07/27/26 05:32:09 AM,0.0,0.0,26.11,,,
131,07/27/26 05:32:10 AM,0.0,0.0,26.12,,,
132,07/27/26 05:32:11 AM,0.0,0.0,26.11,,,
133,07/27/26 05:32:12 AM,0.0,0.0,26.11,,,
134,07/27/26 05:32:13 AM,0.0,0.0,26.11,,,
135,07/27/26 05:32:14 AM,0.0,0.0,26.12,,,
136,07/27/26 05:32:15 AM,0.0,0.0,26.12,,,
137,07/27/26 05:32:16 AM,0.0,0.0,26.12,,,
138,07/27/26 05:32:17 AM,0.0,0.0,26.12,,,
139,07/27/26 05:32:18 AM,0.0,0.0,26.12,,,
140,07/27/26 05:32:19 AM,0.0,0.0,26.12,,,
141,07/27/26 05:32:20 AM,0.0,0.0,26.12,,,
142,07/27/26 05:32:21 AM,0.0,0.0,26.12,,,
143,07/27/26 05:32:22 AM,0.0,0.0,26.12,,,
144,07/27/26 05:32:23 AM,0.0,0.0,26.12,,,
145,07/27/26 05:32:24 AM,0.0,0.0,26.12,,,
146,07/27/26 05:32:25 AM,0.0,0.0,26.12,,,
147,07/27/26 05:32:26 AM,0.0,0.0,26.12,,,
148,07/27/26 05:32:27 AM,0.0,0.0,26.12,,,
149,07/27/26 05:32:28 AM,0.0,0.0,26.12,,,
150,07/27/26 05:32:29 AM,0.0,0.0,26.12,,,
151,07/27/26 05:32:30 AM,0.0,0.0,26.12,,,
152,07/27/26 05:32:31 AM,0.0,0.0,26.12,,,
153,07/27/26 05:32:32 AM,0.0,0.0,26.12,,,
154,07/27/26 05:32:33 AM,0.0,0.0,26.12,,,
155,07/27/26 05:32:34 AM,0.0,0.0,26.12,,,
156,07/27/26 05:32:35 AM,0.0,0.0,26.12,,,
157,07/27/26 05:32:36 AM,0.0,0.0,26.12,,,
158,07/27/26 05:32:37 AM,0.0,0.0,26.12,,,
