"Plot Title: IN_Sal"
"#","Date Time, GMT-10:00","Low Range, μS/cm (LGR S/N: 20739335, SEN S/N: 20739335)","High Range, μS/cm (LGR S/N: 20739335, SEN S/N: 20739335)","Temp, °C (LGR S/N: 20739335, SEN S/N: 20739335)","Coupler Detached (LGR S/N: 20739335)","End Of File (LGR S/N: 20739335)"
1,07/17/26 07:00:00 AM,0.0,0.0,30.19,Logged,Logged
2,07/17/26 07:00:00 AM,0.0,0.0,28.35,,
3,07/17/26 07:00:00 AM,33722.4,30021.5,26.56,,
4,07/17/26 07:00:00 AM,33722.4,30429.8,27.47,,
5,07/17/26 07:00:00 AM,33722.4,31464.1,28.93,,
6,07/17/26 07:00:00 AM,33722.4,32245.0,29.91,,
7,07/17/26 07:00:00 AM,33722.4,32147.1,29.85,,
8,07/17/26 07:00:00 AM,33722.4,32223.4,30.04,,
9,07/17/26 07:00:00 AM,33722.4,31917.5,29.53,,
10,07/17/26 07:00:00 AM,33722.4,31713.9,29.27,,
11,07/17/26 07:00:00 AM,33722.4,31572.4,28.96,,
12,07/17/26 07:00:00 AM,33722.4,31152.1,28.39,,
13,07/17/26 07:00:00 AM,33722.4,31102.4,28.22,,
14,07/17/26 07:00:00 AM,33722.4,30898.5,27.87,,
15,07/17/26 07:00:00 AM,33722.4,30624.2,27.62,,
16,07/17/26 07:00:00 AM,33722.4,30442.8,27.31,,
17,07/17/26 07:00:00 AM,33722.4,30089.6,26.87,,
18,07/17/26 07:00:00 AM,33722.4,29848.0,26.50,,
19,07/17/26 07:00:00 AM,33722.4,29607.4,26.19,,
20,07/17/26 07:00:00 AM,33722.4,29384.3,25.96,,
21,07/17/26 07:00:00 AM,33722.4,29343.2,25.92,,
22,07/17/26 07:00:00 AM,33722.4,29294.1,25.90,,
23,07/17/26 07:00:00 AM,33722.4,29308.5,25.95,,
24,07/17/26 07:00:00 AM,33722.4,29296.2,25.99,,
25,07/17/26 07:00:00 AM,33722.4,29228.9,25.92,,
26,07/17/26 07:00:00 AM,33722.4,25191.7,24.91,,
27,07/17/26 07:00:00 AM,646.4,602.6,28.51,,
28,07/17/26 07:00:00 AM,0.0,0.0,27.59,,
29,07/17/26 07:00:00 AM,0.0,0.0,27.85,,
30,07/17/26 07:00:00 AM,0.0,0.0,28.03,,
31,07/17/26 07:00:00 AM,0.0,0.0,28.18,,
32,07/17/26 07:00:00 AM,0.0,0.0,28.40,,
33,07/17/26 07:00:00 AM,0.0,0.0,28.56,,
34,07/17/26 07:00:00 AM,0.0,0.0,28.73,,
35,07/17/26 07:00:00 AM,0.0,0.0,29.23,,
36,07/17/26 07:00:00 AM,0.0,0.0,29.06,,
37,07/17/26 07:00:00 AM,0.0,0.0,28.50,,
38,07/17/26 07:00:00 AM,0.0,0.0,28.74,,
39,07/17/26 07:00:00 AM,0.0,0.0,28.88,,
40,07/17/26 07:00:00 AM,0.0,0.0,29.00,,
41,07/17/26 07:00:00 AM,0.0,0.0,29.09,,
42,07/17/26 07:00:00 AM,0.0,0.0,29.11,,
43,07/17/26 07:00:00 AM,0.0,0.0,29.11,,
44,07/17/26 07:00:00 AM,0.0,0.0,29.10,,
45,07/17/26 07:00:00 AM,0.0,0.0,29.07,,
46,07/17/26 07:00:00 AM,0.0,0.0,29.04,,
47,07/17/26 07:00:00 AM,0.0,0.0,28.95,,
48,07/17/26 07:00:00 AM,0.0,0.0,28.88,,
49,07/17/26 07:00:00 AM,0.0,0.0,28.83,,
50,07/17/26 07:00:00 AM,0.0,0.0,28.73,,
51,07/17/26 07:00:00 AM,0.0,0.0,28.67,,
52,07/17/26 07:00:00 AM,0.0,0.0,28.66,,
53,07/17/26 07:00:00 AM,0.0,0.0,28.68,,
54,07/17/26 07:00:00 AM,0.0,0.0,28.66,,
55,07/17/26 07:00:00 AM,0.0,0.0,28.71,,
56,07/17/26 07:00:00 AM,0.0,0.0,28.73,,
57,07/17/26 07:00:00 AM,0.0,0.0,28.93,,
58,07/17/26 07:00:00 AM,0.0,0.0,29.21,,
59,07/17/26 07:00:00 AM,0.0,0.0,29.44,,
60,07/17/26 07:00:00 AM,0.0,0.0,29.43,,
61,07/17/26 07:00:00 AM,0.0,0.0,29.38,,
62,07/17/26 07:00:00 AM,0.0,0.0,29.34,,
63,07/17/26 07:00:00 AM,0.0,0.0,28.91,,
64,07/17/26 07:00:00 AM,0.0,0.0,28.87,,
65,07/17/26 07:00:00 AM,0.0,0.0,28.85,,
66,07/17/26 07:00:00 AM,0.0,0.0,28.78,,
67,07/17/26 07:00:00 AM,0.0,0.0,28.76,,
68,07/17/26 07:00:00 AM,0.0,0.0,28.73,,
69,07/17/26 07:00:00 AM,0.0,0.0,28.72,,
70,07/17/26 07:00:00 AM,0.0,0.0,28.69,,
71,07/17/26 07:00:00 AM,0.0,0.0,28.66,,
72,07/17/26 07:00:00 AM,0.0,0.0,27.79,,
73,07/17/26 07:00:00 AM,0.0,0.0,27.11,,
74,07/17/26 07:00:00 AM,0.0,0.0,26.53,,
75,07/17/26 07:00:00 AM,0.0,0.0,26.84,,
76,07/17/26 07:00:00 AM,0.0,0.0,23.91,,
77,07/17/26 07:00:00 AM,0.0,0.0,23.62,,
78,07/17/26 07:00:00 AM,0.0,0.0,22.51,,
79,07/17/26 07:00:00 AM,0.0,0.0,22.36,,
80,07/17/26 07:00:00 AM,0.0,0.0,22.35,,
81,07/17/26 07:00:00 AM,0.0,0.0,22.36,,
