"Plot Title: OFF_Depth"
"#","Date Time, GMT-10:00","Abs Pres, kPa (LGR S/N: 20810872, SEN S/N: 20810872)","Temp, °C (LGR S/N: 20810872, SEN S/N: 20810872)","Coupler Detached (LGR S/N: 20810872)","Coupler Attached (LGR S/N: 20810872)","Host Connected (LGR S/N: 20810872)","Stopped (LGR S/N: 20810872)","End Of File (LGR S/N: 20810872)"
1,07/17/26 07:00:00 AM,101.342,29.652,Logged,,,,
2,07/17/26 07:01:00 AM,101.342,29.652,,,,,
3,07/17/26 07:02:00 AM,101.342,29.652,,,,,
4,07/17/26 07:03:00 AM,101.342,29.652,,,,,
5,07/17/26 07:04:00 AM,101.356,29.552,,,,,
6,07/17/26 07:05:00 AM,101.353,29.452,,,,,
7,07/17/26 07:06:00 AM,101.353,29.452,,,,,
8,07/17/26 07:07:00 AM,101.367,29.352,,,,,
9,07/17/26 07:08:00 AM,101.364,29.252,,,,,
10,07/17/26 07:09:00 AM,101.364,29.252,,,,,
11,07/17/26 07:10:00 AM,101.526,29.252,,,,,
12,07/17/26 07:11:00 AM,101.765,29.152,,,,,
13,07/17/26 07:12:00 AM,101.792,28.953,,,,,
14,07/17/26 07:13:00 AM,101.800,28.655,,,,,
15,07/17/26 07:14:00 AM,101.777,28.357,,,,,
16,07/17/26 07:15:00 AM,101.721,28.060,,,,,
17,07/17/26 07:16:00 AM,101.716,27.862,,,,,
18,07/17/26 07:17:00 AM,101.713,27.764,,,,,
19,07/17/26 07:18:00 AM,101.695,27.665,,,,,
20,07/17/26 07:19:00 AM,101.695,27.665,,,,,
21,07/17/26 07:20:00 AM,101.743,27.665,,,,,
22,07/17/26 07:21:00 AM,101.725,27.567,,,,,
23,07/17/26 07:22:00 AM,101.725,27.567,,,,,
24,07/17/26 07:23:00 AM,101.738,27.468,,,,,
25,07/17/26 07:24:00 AM,101.738,27.468,,,,,
26,07/17/26 07:25:00 AM,101.754,27.468,,,,,
27,07/17/26 07:26:00 AM,101.738,27.468,,,,,
28,07/17/26 07:27:00 AM,101.738,27.468,,,,,
29,07/17/26 07:28:00 AM,101.770,27.468,,,,,
30,07/17/26 07:29:00 AM,101.752,27.370,,,,,
31,07/17/26 07:30:00 AM,101.768,27.370,,,,,
32,07/17/26 07:31:00 AM,101.768,27.370,,,,,
33,07/17/26 07:32:00 AM,101.784,27.370,,,,,
34,07/17/26 07:33:00 AM,101.768,27.370,,,,,
35,07/17/26 07:34:00 AM,101.768,27.370,,,,,
36,07/17/26 07:35:00 AM,101.768,27.370,,,,,
37,07/17/26 07:36:00 AM,101.752,27.370,,,,,
38,07/17/26 07:37:00 AM,101.787,27.468,,,,,
39,07/17/26 07:38:00 AM,101.789,27.567,,,,,
40,07/17/26 07:39:00 AM,101.789,27.567,,,,,
41,07/17/26 07:40:00 AM,101.773,27.567,,,,,
42,07/17/26 07:41:00 AM,101.791,27.665,,,,,
43,07/17/26 07:42:00 AM,101.791,27.665,,,,,
44,07/17/26 07:43:00 AM,101.791,27.665,,,,,
45,07/17/26 07:44:00 AM,101.794,27.764,,,,,
46,07/17/26 07:45:00 AM,101.794,27.764,,,,,
47,07/17/26 07:46:00 AM,101.794,27.764,,,,,
48,07/17/26 07:47:00 AM,101.794,27.764,,,,,
49,07/17/26 07:48:00 AM,101.794,27.764,,,,,
50,07/17/26 07:49:00 AM,101.810,27.764,,,,,
51,07/17/26 07:50:00 AM,101.778,27.764,,,,,
52,07/17/26 07:51:00 AM,101.778,27.764,,,,,
53,07/17/26 07:52:00 AM,101.794,27.764,,,,,
54,07/17/26 07:53:00 AM,101.794,27.764,,,,,
