"Plot Title: OFF_Sal"
"#","Date Time, GMT-10:00","Low Range, μS/cm (LGR S/N: 20739347, SEN S/N: 20739347)","High Range, μS/cm (LGR S/N: 20739347, SEN S/N: 20739347)","Temp, °C (LGR S/N: 20739347, SEN S/N: 20739347)","Specific Conductance, μS/cm (LGR S/N: 20739347)","Coupler Detached (LGR S/N: 20739347)","Coupler Attached (LGR S/N: 20739347)","Host Connected (LGR S/N: 20739347)","Stopped (LGR S/N: 20739347)","End Of File (LGR S/N: 20739347)"
1,07/27/26 05:30:00 AM,0.0,0.0,40.47,,Logged,,,,
2,07/27/26 05:31:00 AM,0.0,0.0,40.47,,,,,,
3,07/27/26 05:32:00 AM,0.0,0.0,40.47,,,,,,
4,07/27/26 05:33:00 AM,0.0,0.0,40.47,,,,,,
5,07/27/26 05:34:00 AM,0.0,0.0,40.47,,,,,,
6,07/27/26 05:35:00 AM,0.0,0.0,40.47,,,,,,
7,07/27/26 05:36:00 AM,0.0,0.0,40.47,,,,,,
8,07/27/26 05:37:00 AM,0.0,0.0,40.47,,,,,,
9,07/27/26 05:38:00 AM,0.0,0.0,40.47,,,,,,
10,07/27/26 05:39:00 AM,0.0,0.0,40.47,,,,,,
11,07/27/26 05:40:00 AM,0.0,0.0,40.47,,,,,,
12,07/27/26 05:41:00 AM,0.0,0.0,40.47,,,,,,
13,07/27/26 05:42:00 AM,0.0,0.0,40.47,,,,,,
14,07/27/26 05:43:00 AM,0.0,0.0,40.47,,,,,,
15,07/27/26 05:44:00 AM,0.0,0.0,40.47,,,,,,
16,07/27/26 05:45:00 AM,33489.7,17291.3,40.47,,,,,,
17,07/27/26 05:46:00 AM,33489.7,17164.4,40.47,,,,,,
18,07/27/26 05:47:00 AM,33489.7,17066.7,40.47,,,,,,
19,07/27/26 05:48:00 AM,33489.7,17040.6,40.47,,,,,,
20,07/27/26 05:49:00 AM,33489.7,16989.7,40.47,,,,,,
21,07/27/26 05:50:00 AM,33489.7,16967.2,40.47,,,,,,
22,07/27/26 05:51:00 AM,33489.7,16937.6,40.47,53630.4,,,,,
23,07/27/26 05:52:00 AM,33489.7,16918.8,40.47,53581.0,,,,,
24,07/27/26 05:53:00 AM,33489.7,16909.3,40.47,53560.9,,,,,
25,07/27/26 05:54:00 AM,33489.7,16892.8,40.47,53518.7,,,,,
26,07/27/26 05:55:00 AM,33489.7,16857.5,40.47,53416.8,,,,,
27,07/27/26 05:56:00 AM,33489.7,16863.4,40.47,53445.6,,,,,
28,07/27/26 05:57:00 AM,33489.7,16850.4,40.47,53414.4,,,,,
29,07/27/26 05:58:00 AM,33489.7,16849.3,40.47,53420.9,,,,,
30,07/27/26 05:59:00 AM,33489.7,16843.4,40.47,53412.2,,,,,
31,07/27/26 06:00:00 AM,33489.7,16830.5,40.47,53381.3,,,,,
32,07/27/26 06:01:00 AM,33489.7,16826.9,40.47,53379.8,,,,,
33,07/27/26 06:02:00 AM,33489.7,16819.9,40.47,53367.6,,,,,
34,07/27/26 06:03:00 AM,33489.7,16769.5,40.47,53217.7,,,,,
35,07/27/26 06:04:00 AM,33489.7,16810.5,40.47,53357.8,,,,,
36,07/27/26 06:05:00 AM,33489.7,16802.3,40.47,53341.7,,,,,
37,07/27/26 06:06:00 AM,33489.7,16809.3,40.47,53373.9,,,,,
38,07/27/26 06:07:00 AM,33489.7,16802.3,40.47,53361.7,,,,,
39,07/27/26 06:08:00 AM,33489.7,16792.9,40.47,53341.8,,,,,
40,07/27/26 06:09:00 AM,33489.7,16794.1,40.47,53355.6,,,,,
41,07/27/26 06:10:00 AM,33489.7,16782.4,40.47,53328.4,,,,,
42,07/27/26 06:11:00 AM,33489.7,16788.2,40.47,53356.8,,,,,
43,07/27/26 06:12:00 AM,33489.7,16785.9,40.47,53359.4,,,,,
44,07/27/26 06:13:00 AM,33489.7,16741.4,40.47,53227.9,,,,,
45,07/27/26 06:14:00 AM,33489.7,16768.3,40.47,53323.4,,,,,
46,07/27/26 06:15:00 AM,33489.7,16775.3,40.47,53355.6,,,,,
47,07/27/26 06:16:00 AM,33489.7,16734.3,40.47,53235.1,,,,,
48,07/27/26 06:17:00 AM,33489.7,16771.8,40.47,53364.4,,,,,
49,07/27/26 06:18:00 AM,33489.7,16768.3,40.47,53363.2,,,,,
50,07/27/26 06:19:00 AM,33489.7,16757.7,40.47,53339.4,,,,,
51,07/27/26 06:20:00 AM,33489.7,16761.3,40.47,53360.8,,,,,
52,07/27/26 06:21:00 AM,33489.7,16761.3,40.47,53370.8,,,,,
53,07/27/26 06:22:00 AM,33489.7,16768.3,40.47,53403.0,,,,,
54,07/27/26 06:23:00 AM,33489.7,16767.1,40.47,53409.2,,,,,
55,07/27/26 06:24:00 AM,33489.7,16769.5,40.47,53426.8,,,,,
56,07/27/26 06:25:00 AM,33489.7,16763.6,40.47,53417.9,,,,,
57,07/27/26 06:26:00 AM,33489.7,16761.3,40.47,53420.6,,,,,
58,07/27/26 06:27:00 AM,33489.7,16765.9,40.47,53445.2,,,,,
59,07/27/26 06:28:00 AM,33489.7,16763.6,40.47,53447.8,,,,,
60,07/27/26 06:29:00 AM,33489.7,16767.1,40.47,53468.9,,,,,
61,07/27/26 06:30:00 AM,33489.7,16741.4,40.47,53396.9,,,,,
62,07/27/26 06:31:00 AM,33489.7,16746.0,40.47,53421.5,,,,,
63,07/27/26 06:32:00 AM,33489.7,16744.9,40.47,53427.9,,,,,
64,07/27/26 06:33:00 AM,33489.7,16746.0,40.47,53441.4,,,,,
65,07/27/26 06:34:00 AM,33489.7,16741.4,40.47,53436.7,,,,,
66,07/27/26 06:35:00 AM,33489.7,16739.0,40.47,53438.9,,,,,
67,07/27/26 06:36:00 AM,33489.7,16741.4,40.47,53456.5,,,,,
68,07/27/26 06:37:00 AM,33489.7,16728.5,40.47,53425.3,,,,,
69,07/27/26 06:38:00 AM,33489.7,16744.9,40.47,53487.6,,,,,
70,07/27/26 06:39:00 AM,33489.7,16748.4,40.47,53508.7,,,,,
71,07/27/26 06:40:00 AM,33489.7,16749.6,40.47,53522.5,,,,,
72,07/27/26 06:41:00 AM,33489.7,16749.6,40.47,53532.5,,,,,
73,07/27/26 06:42:00 AM,33489.7,16748.4,40.47,53538.6,,,,,
74,07/27/26 06:43:00 AM,33489.7,16746.0,40.47,53540.8,,,,,
75,07/27/26 06:44:00 AM,33489.7,16747.2,40.47,53554.6,,,,,
76,07/27/26 06:45:00 AM,33489.7,16743.7,40.47,53553.4,,,,,
77,07/27/26 06:46:00 AM,33489.7,16734.3,40.47,53533.2,,,,,
78,07/27/26 06:47:00 AM,33489.7,16723.8,40.47,53509.6,,,,,
79,07/27/26 06:48:00 AM,33489.7,16748.4,40.47,53598.2,,,,,
80,07/27/26 06:49:00 AM,33489.7,16747.2,40.47,53604.3,,,,,
81,07/27/26 06:50:00 AM,33489.7,16694.6,40.47,53445.9,,,,,
82,07/27/26 06:51:00 AM,33489.7,16706.3,40.47,53493.3,,,,,
83,07/27/26 06:52:00 AM,33489.7,16736.7,40.47,53600.6,,,,,
84,07/27/26 06:53:00 AM,33489.7,16671.3,40.47,53401.0,,,,,
85,07/27/26 06:54:00 AM,33489.7,16729.7,40.47,53598.0,,,,,
86,07/27/26 06:55:00 AM,33489.7,16740.2,40.47,53641.6,,,,,
87,07/27/26 06:56:00 AM,33489.7,16743.7,40.47,53662.7,,,,,
88,07/27/26 06:57:00 AM,33489.7,16742.5,40.47,53668.8,,,,,
89,07/27/26 06:58:00 AM,33489.7,16733.2,40.47,53649.0,,,,,
90,07/27/26 06:59:00 AM,33489.7,16736.7,40.47,53670.1,,,,,
91,07/27/26 07:00:00 AM,33489.7,16739.0,40.47,53687.4,,,,,
92,07/27/26 07:01:00 AM,33489.7,16741.4,40.47,53705.1,,,,,
93,07/27/26 07:02:00 AM,33489.7,16736.7,40.47,53699.9,,,,,
94,07/27/26 07:03:00 AM,33489.7,16737.9,40.47,53713.7,,,,,
95,07/27/26 07:04:00 AM,33489.7,16726.2,40.47,53686.1,,,,,
96,07/27/26 07:05:00 AM,33489.7,16721.5,40.47,53681.0,,,,,
97,07/27/26 07:06:00 AM,33489.7,16733.2,40.47,53728.4,,,,,
98,07/27/26 07:07:00 AM,33489.7,16739.0,40.47,,,,,,
99,07/27/26 07:08:00 AM,33489.7,16735.5,40.47,,,,,,
100,07/27/26 07:09:00 AM,33489.7,16734.3,40.47,,,,,,
101,07/27/26 07:10:00 AM,33489.7,16728.5,40.47,,,,,,
102,07/27/26 07:11:00 AM,33489.7,16228.1,40.47,,,,,,
103,07/27/26 07:12:00 AM,33489.7,16688.8,40.47,,,,,,
104,07/27/26 07:13:00 AM,33489.7,16664.3,40.47,,,,,,
