"Plot Title: OFF_Sal"
"#","Date Time, GMT-10:00","Low Range, μS/cm (LGR S/N: 20739347, SEN S/N: 20739347)","High Range, μS/cm (LGR S/N: 20739347, SEN S/N: 20739347)","Temp, °C (LGR S/N: 20739347, SEN S/N: 20739347)","Coupler Detached (LGR S/N: 20739347)","Coupler Attached (LGR S/N: 20739347)","Host Connected (LGR S/N: 20739347)","Stopped (LGR S/N: 20739347)","End Of File (LGR S/N: 20739347)"
1,07/17/26 07:00:00 AM,0.0,0.0,40.47,Logged,,,,
2,07/17/26 07:01:00 AM,0.0,0.0,40.47,,,,,
3,07/17/26 07:02:00 AM,0.0,0.0,40.47,,,,,
4,07/17/26 07:03:00 AM,0.0,0.0,40.47,,,,,
5,07/17/26 07:04:00 AM,0.0,0.0,40.47,,,,,
6,07/17/26 07:05:00 AM,0.0,0.0,40.47,,,,,
7,07/17/26 07:06:00 AM,0.0,0.0,40.47,,,,,
8,07/17/26 07:07:00 AM,0.0,0.0,40.47,,,,,
9,07/17/26 07:08:00 AM,0.0,0.0,40.47,,,,,
10,07/17/26 07:09:00 AM,0.0,0.0,40.47,,,,,
11,07/17/26 07:10:00 AM,0.0,0.0,40.47,,,,,
12,07/17/26 07:11:00 AM,0.0,0.0,40.47,,,,,
13,07/17/26 07:12:00 AM,0.0,0.0,40.47,,,,,
14,07/17/26 07:13:00 AM,0.0,0.0,40.47,,,,,
15,07/17/26 07:14:00 AM,0.0,0.0,40.47,,,,,
16,07/17/26 07:15:00 AM,0.0,0.0,40.47,,,,,
17,07/17/26 07:16:00 AM,0.0,0.0,40.47,,,,,
18,07/17/26 07:17:00 AM,0.0,0.0,40.47,,,,,
19,07/17/26 07:18:00 AM,0.0,0.0,40.47,,,,,
20,07/17/26 07:19:00 AM,0.0,0.0,40.47,,,,,
21,07/17/26 07:20:00 AM,0.0,0.0,40.47,,,,,
22,07/17/26 07:21:00 AM,0.0,0.0,40.47,,,,,
23,07/17/26 07:22:00 AM,0.0,0.0,40.47,,,,,
24,07/17/26 07:23:00 AM,0.0,0.0,40.47,,,,,
25,07/17/26 07:24:00 AM,0.0,0.0,40.47,,,,,
26,07/17/26 07:25:00 AM,0.0,0.0,40.47,,,,,
27,07/17/26 07:26:00 AM,0.0,0.0,40.47,,,,,
28,07/17/26 07:27:00 AM,0.0,0.0,40.47,,,,,
29,07/17/26 07:28:00 AM,0.0,0.0,40.47,,,,,
30,07/17/26 07:29:00 AM,0.0,0.0,40.47,,,,,
31,07/17/26 07:30:00 AM,0.0,0.0,40.47,,,,,
32,07/17/26 07:31:00 AM,0.0,0.0,40.47,,,,,
33,07/17/26 07:32:00 AM,0.0,0.0,40.47,,,,,
34,07/17/26 07:33:00 AM,0.0,0.0,40.47,,,,,
35,07/17/26 07:34:00 AM,0.0,0.0,40.47,,,,,
36,07/17/26 07:35:00 AM,0.0,0.0,40.47,,,,,
37,07/17/26 07:36:00 AM,0.0,0.0,40.47,,,,,
38,07/17/26 07:37:00 AM,0.0,0.0,40.47,,,,,
39,07/17/26 07:38:00 AM,0.0,0.0,40.47,,,,,
40,07/17/26 07:39:00 AM,0.0,0.0,40.47,,,,,
41,07/17/26 07:40:00 AM,0.0,0.0,40.47,,,,,
