sample_id,volume_mL,wetweight_g,dryweight_g,afdw_g,chl_wetweight_g,chl_dryweight_g,algae_id,species,full_species
AS01_IN,476,3.66,NA,NA,1.83,NA,AS01,as,acanthophora_spicifera
HD02_IN,473,8.85,NA,NA,1.35,NA,HD02,hd,halimeda_discoidea
BLANK1_RUN1_PI,481,0.00,NA,NA,0.00,NA,BLANK1_RUN1,blank,blank
GS01_IN,478,3.11,NA,NA,4.25,NA,GS01,gs,gracilaria_salicornia
SF02_IN,475,2.18,NA,NA,1.19,NA,SF02,sf,spyridia_filamentosa
AV02_IN,467,13.76,NA,NA,1.66,NA,AV02,av,avrainvillea_lacerata
DA02_IN,482,0.57,NA,NA,2.50,NA,DA02,da,dictyota_acutiloba
SF01_IN,480,0.46,NA,NA,2.54,NA,SF01,sf,spyridia_filamentosa
HD01_IN,477,6.49,NA,NA,0.46,NA,HD01,hd,halimeda_discoidea
DA01_IN,481,0.77,NA,NA,0.65,NA,DA01,da,dictyota_acutiloba
AS02_IN,479,0.41,NA,NA,1.71,NA,AS02,as,acanthophora_spicifera
BLANK2_RUN1_PI,479,0.00,NA,NA,0.00,NA,BLANK2_RUN1,blank,blank
CS02_IN,477,0.35,NA,NA,0.23,NA,CS02,cs,caulerpa_sertularioides
SF03_OFF,476,1.19,NA,NA,0.56,NA,SF03,sf,spyridia_filamentosa
AV01_OFF,473,11.26,NA,NA,2.09,NA,AV01,av,avrainvillea_lacerata
BLANK1_RUN2_PI,481,0.00,NA,NA,0.00,NA,BLANK1_RUN2,blank,blank
AS04_OFF,480,0.99,NA,NA,0.30,NA,AS04,as,acanthophora_spicifera
AV03_IN,476,5.04,NA,NA,1.90,NA,AV03,av,avrainvillea_lacerata
AS03_OFF,477,2.28,NA,NA,1.03,NA,AS03,as,acanthophora_spicifera
CS01_OFF,480,0.23,NA,NA,0.06,NA,CS01,cs,caulerpa_sertularioides
HD04_OFF,475,7.81,NA,NA,2.01,NA,HD04,hd,halimeda_discoidea
GS02_OFF,478,2.77,NA,NA,1.87,NA,GS02,gs,gracilaria_salicornia
BLANK2_RUN2_PI,483,0.00,NA,NA,0.00,NA,BLANK2_RUN2,blank,blank
SF04_OFF,477,1.61,NA,NA,0.82,NA,SF04,sf,spyridia_filamentosa
GS04_IN,476,2.81,NA,NA,7.81,NA,GS04,gs,gracilaria_salicornia
DA03_OFF,479,0.47,NA,NA,0.28,NA,DA03,da,dictyota_acutiloba
HD03_OFF,470,9.46,NA,NA,1.78,NA,HD03,hd,halimeda_discoidea
BLANK1_RUN3_PI,480,0.00,NA,NA,0.00,NA,BLANK1_RUN3,blank,blank
GS03_OFF,478,2.48,NA,NA,4.02,NA,GS03,gs,gracilaria_salicornia
SF05_IN,470,2.55,NA,NA,7.74,NA,SF05,sf,spyridia_filamentosa
AV05_IN,471,6.70,NA,NA,5.38,NA,AV05,av,avrainvillea_lacerata
BLANK2_RUN3_PI,481,0.00,NA,NA,0.00,NA,BLANK2_RUN3,blank,blank
DA05_IN,475,1.62,NA,NA,2.01,NA,DA05,da,dictyota_acutiloba
DA04_IN,474,1.36,NA,NA,0.21,NA,DA04,da,dictyota_acutiloba
AV04_OFF,470,8.17,NA,NA,2.91,NA,AV04,av,avrainvillea_lacerata
HD05_IN,470,8.35,NA,NA,1.12,NA,HD05,hd,halimeda_discoidea
GS06_OFF,473,3.59,NA,NA,8.95,NA,GS06,gs,gracilaria_salicornia
AV07_OFF,474,4.64,NA,NA,3.10,NA,AV07,av,avrainvillea_lacerata
DS01_OFF,480,0.30,NA,NA,0.46,NA,DS01,ds,dicyota_sandvicensis
AV06_OFF,477,4.63,NA,NA,5.41,NA,AV06,av,avrainvillea_lacerata
BLANK1_RUN4_PI,481,0.00,NA,NA,0.00,NA,BLANK1_RUN4,blank,blank
GS05_OFF,480,1.97,NA,NA,4.33,NA,GS05,gs,gracilaria_salicornia
DS03_OFF,478,1.33,NA,NA,1.21,NA,DS03,ds,dicyota_sandvicensis
AS06_OFF,479,1.60,NA,NA,2.18,NA,AS06,as,acanthophora_spicifera
HD06_OFF,474,7.10,NA,NA,2.53,NA,HD06,hd,halimeda_discoidea
AS05_OFF,480,1.11,NA,NA,1.13,NA,AS05,as,acanthophora_spicifera
BLANK2_RUN4_PI,481,0.00,NA,NA,0.00,NA,BLANK2_RUN4,blank,blank
DS02_OFF,480,0.43,NA,NA,1.31,NA,DS02,ds,dicyota_sandvicensis
AS07_OFF,475,1.67,NA,NA,2.44,NA,AS07,as,acanthophora_spicifera
BLANK1_RUN5_PI,481,0.00,NA,NA,0.00,NA,BLANK1_RUN5,blank,blank
DS06_OFF,479,0.83,NA,NA,0.94,NA,DS06,ds,dicyota_sandvicensis
SF06_IN,476,1.40,NA,NA,5.71,NA,SF06,sf,spyridia_filamentosa
AV08_OFF,475,4.28,NA,NA,5.29,NA,AV08,av,avrainvillea_lacerata
GS07_OFF,478,2.16,NA,NA,3.70,NA,GS07,gs,gracilaria_salicornia
BLANK2_RUN5_PI,479,0.00,NA,NA,0.00,NA,BLANK2_RUN5,blank,blank
DS04_IN,481,0.21,NA,NA,0.13,NA,DS04,ds,dicyota_sandvicensis
SF08_OFF,480,0.48,NA,NA,0.11,NA,SF08,sf,spyridia_filamentosa
DS05_OFF,480,0.19,NA,NA,1.59,NA,DS05,ds,dicyota_sandvicensis
HD07_IN,471,7.92,NA,NA,5.06,NA,HD07,hd,halimeda_discoidea
SF07_OFF,479,0.21,NA,NA,0.24,NA,SF07,sf,spyridia_filamentosa
AS08_OFF,479,0.42,NA,NA,2.33,NA,AS08,as,acanthophora_spicifera
HD09_OFF,476,5.58,NA,NA,9.44,NA,HD09,hd,halimeda_discoidea
DC01_OFF,480,2.74,NA,NA,4.71,NA,DC01,dc,dictyosphaeria_cavernosa
HD08_OFF,477,4.43,NA,NA,11.01,NA,HD08,hd,halimeda_discoidea
DA06_IN,483,0.68,NA,NA,2.91,NA,DA06,da,dictyota_acutiloba
BLANK1_RUN6_PI,482,0.00,NA,NA,0.00,NA,BLANK1_RUN6,blank,blank
DS07_OFF,479,1.79,NA,NA,1.72,NA,DS07,ds,dicyota_sandvicensis
BLANK2_RUN6_PI,484,0.00,NA,NA,0.00,NA,BLANK2_RUN6,blank,blank
AV09_IN,471,11.76,NA,NA,4.95,NA,AV09,av,avrainvillea_lacerata
SF09_IN,480,0.83,NA,NA,3.59,NA,SF09,sf,spyridia_filamentosa
GS08_IN,483,1.62,NA,NA,5.04,NA,GS08,gs,gracilaria_salicornia
GS09_OFF,481,1.37,NA,NA,4.21,NA,GS09,gs,gracilaria_salicornia
HD11_OFF,459,13.12,NA,NA,4.34,NA,HD11,hd,halimeda_discoidea
DC03_OFF,478,3.23,NA,NA,4.42,NA,DC03,dc,dictyosphaeria_cavernosa
BLANK1_RUN7_PI,483,0.00,NA,NA,0.00,NA,BLANK1_RUN7,blank,blank
DA07_IN,477,1.98,NA,NA,1.64,NA,DA07,da,dictyota_acutiloba
AV11_OFF,465,14.99,NA,NA,6.68,NA,AV11,av,avrainvillea_lacerata
AS10_OFF,480,1.59,NA,NA,3.24,NA,AS10,as,acanthophora_spicifera
DC02_OFF,460,17.64,NA,NA,5.76,NA,DC02,dc,dictyosphaeria_cavernosa
AS09_IN,478,2.09,NA,NA,2.89,NA,AS09,as,acanthophora_spicifera
AV10_IN,472,5.63,NA,NA,1.58,NA,AV10,av,avrainvillea_lacerata
BLANK2_RUN7_PI,482,0.00,NA,NA,0.00,NA,BLANK2_RUN7,blank,blank
SF10_IN,476,1.46,NA,NA,5.90,NA,SF10,sf,spyridia_filamentosa
HD10_IN,474,7.49,NA,NA,2.41,NA,HD10,hd,halimeda_discoidea
GS10_OFF,477,2.48,NA,NA,1.51,NA,GS10,gs,gracilaria_salicornia
DA08_IN,477,1.19,NA,NA,3.89,NA,DA08,da,dictyota_acutiloba
AS11_IN,476,2.79,NA,NA,1.56,NA,AS11,as,acanthophora_spicifera
GS11_OFF,480,1.08,NA,NA,6.79,NA,GS11,gs,gracilaria_salicornia
SF11_IN,479,0.86,NA,NA,1.16,NA,SF11,sf,spyridia_filamentosa
BLANK1_RUN8_PI,481,0.00,NA,NA,0.00,NA,BLANK1_RUN8,blank,blank
