date,start_time,stop_time,algae_id,species,sample_id,file_id_csv,light_dark,run_block,blank,chamber_channel,light_level,light_value
2026-02-02,14:00,14:15,DA04,da,DA04_PI,DA04_PI_RUN1_O2.csv,light,run1,0,1,1,0
2026-02-02,14:00,14:15,GS02,gs,GS02_PI,GS02_PI_RUN1_O2.csv,light,run1,0,2,1,0
2026-02-02,14:00,14:15,AS03,as,AS03_PI,AS03_PI_RUN1_O2.csv,light,run1,0,3,1,0
2026-02-02,14:00,14:15,SF01,sf,SF01_PI,SF01_PI_RUN1_O2.csv,light,run1,0,4,1,0
2026-02-02,14:00,14:15,AV02,av,AV02_PI,AV02_PI_RUN1_O2.csv,light,run1,0,5,1,0
2026-02-02,14:00,14:15,BLANKA01_RUN1,blank,BLANKA01_PI_RUN1,BLANKA01_PI_RUN1_O2.csv,light,run1,1,6,1,0
2026-02-02,14:00,14:15,BLANKA02_RUN1,blank,BLANKA02_PI_RUN1,BLANKA02_PI_RUN1_O2.csv,light,run1,1,7,1,0
2026-02-02,14:00,14:15,DA01,da,DA01_PI,DA01_PI_RUN1_O2.csv,light,run1,0,8,1,0
2026-02-02,14:00,14:15,CS02,cs,CS02_PI,CS02_PI_RUN1_O2.csv,light,run1,0,9,1,0
2026-02-02,14:00,14:15,GS04,gs,GS04_PI,GS04_PI_RUN1_O2.csv,light,run1,0,10,1,0
2026-02-02,14:00,14:15,SF02,sf,SF02_PI,SF02_PI_RUN1_O2.csv,light,run1,0,11,1,0
2026-02-02,14:00,14:15,AV03,av,AV03_PI,AV03_PI_RUN1_O2.csv,light,run1,0,12,1,0
2026-02-02,14:20,14:35,DA04,da,DA04_PI,DA04_PI_RUN1_O2.csv,light,run1,0,1,2,95
2026-02-02,14:20,14:35,GS02,gs,GS02_PI,GS02_PI_RUN1_O2.csv,light,run1,0,2,2,95
2026-02-02,14:20,14:35,AS03,as,AS03_PI,AS03_PI_RUN1_O2.csv,light,run1,0,3,2,95
2026-02-02,14:20,14:35,SF01,sf,SF01_PI,SF01_PI_RUN1_O2.csv,light,run1,0,4,2,95
2026-02-02,14:20,14:35,AV02,av,AV02_PI,AV02_PI_RUN1_O2.csv,light,run1,0,5,2,95
2026-02-02,14:20,14:35,BLANKA01_RUN1,blank,BLANKA01_PI_RUN1,BLANKA01_PI_RUN1_O2.csv,light,run1,1,6,2,95
2026-02-02,14:20,14:35,BLANKA02_RUN1,blank,BLANKA02_PI_RUN1,BLANKA02_PI_RUN1_O2.csv,light,run1,1,7,2,95
2026-02-02,14:20,14:35,DA01,da,DA01_PI,DA01_PI_RUN1_O2.csv,light,run1,0,8,2,95
2026-02-02,14:20,14:35,CS02,cs,CS02_PI,CS02_PI_RUN1_O2.csv,light,run1,0,9,2,95
2026-02-02,14:20,14:35,GS04,gs,GS04_PI,GS04_PI_RUN1_O2.csv,light,run1,0,10,2,95
2026-02-02,14:20,14:35,SF02,sf,SF02_PI,SF02_PI_RUN1_O2.csv,light,run1,0,11,2,95
2026-02-02,14:20,14:35,AV03,av,AV03_PI,AV03_PI_RUN1_O2.csv,light,run1,0,12,2,95
2026-02-02,14:40,14:55,DA04,da,DA04_PI,DA04_PI_RUN1_O2.csv,light,run1,0,1,3,195
2026-02-02,14:40,14:55,GS02,gs,GS02_PI,GS02_PI_RUN1_O2.csv,light,run1,0,2,3,195
2026-02-02,14:40,14:55,AS03,as,AS03_PI,AS03_PI_RUN1_O2.csv,light,run1,0,3,3,195
2026-02-02,14:40,14:55,SF01,sf,SF01_PI,SF01_PI_RUN1_O2.csv,light,run1,0,4,3,195
2026-02-02,14:40,14:55,AV02,av,AV02_PI,AV02_PI_RUN1_O2.csv,light,run1,0,5,3,195
2026-02-02,14:40,14:55,BLANKA01_RUN1,blank,BLANKA01_PI_RUN1,BLANKA01_PI_RUN1_O2.csv,light,run1,1,6,3,195
2026-02-02,14:40,14:55,BLANKA02_RUN1,blank,BLANKA02_PI_RUN1,BLANKA02_PI_RUN1_O2.csv,light,run1,1,7,3,195
2026-02-02,14:40,14:55,DA01,da,DA01_PI,DA01_PI_RUN1_O2.csv,light,run1,0,8,3,195
2026-02-02,14:40,14:55,CS02,cs,CS02_PI,CS02_PI_RUN1_O2.csv,light,run1,0,9,3,195
2026-02-02,14:40,14:55,GS04,gs,GS04_PI,GS04_PI_RUN1_O2.csv,light,run1,0,10,3,195
2026-02-02,14:40,14:55,SF02,sf,SF02_PI,SF02_PI_RUN1_O2.csv,light,run1,0,11,3,195
2026-02-02,14:59,15:14,AV03,av,AV03_PI,AV03_PI_RUN1_O2.csv,light,run1,0,12,3,195
2026-02-02,14:59,15:14,DA04,da,DA04_PI,DA04_PI_RUN1_O2.csv,light,run1,0,1,4,305
2026-02-02,14:59,15:14,GS02,gs,GS02_PI,GS02_PI_RUN1_O2.csv,light,run1,0,2,4,305
2026-02-02,14:59,15:14,AS03,as,AS03_PI,AS03_PI_RUN1_O2.csv,light,run1,0,3,4,305
2026-02-02,14:59,15:14,SF01,sf,SF01_PI,SF01_PI_RUN1_O2.csv,light,run1,0,4,4,305
2026-02-02,14:59,15:14,AV02,av,AV02_PI,AV02_PI_RUN1_O2.csv,light,run1,0,5,4,305
2026-02-02,14:59,15:14,BLANKA01_RUN1,blank,BLANKA01_PI_RUN1,BLANKA01_PI_RUN1_O2.csv,light,run1,1,6,4,305
2026-02-02,14:59,15:14,BLANKA02_RUN1,blank,BLANKA02_PI_RUN1,BLANKA02_PI_RUN1_O2.csv,light,run1,1,7,4,305
2026-02-02,14:59,15:14,DA01,da,DA01_PI,DA01_PI_RUN1_O2.csv,light,run1,0,8,4,305
2026-02-02,14:59,15:14,CS02,cs,CS02_PI,CS02_PI_RUN1_O2.csv,light,run1,0,9,4,305
2026-02-02,14:59,15:14,GS04,gs,GS04_PI,GS04_PI_RUN1_O2.csv,light,run1,0,10,4,305
