sample_id,volume_mL,wetweight_g,algae_id,species,full_species
DA04T_TPI,475,1.95,DA04T,da,dictyota_acutiloba
GS02T_TPI,480,2.29,GS02T,gs,gracilaria_salicornia
AS03T_TPI,475,1.21,AS03T,as,acanthophora_spicifera
SF01T_TPI,474,1.30,SF01T,sf,spyridia_filamentosa
AV02T_TPI,459,22.25,AV02T,av,avrainvillea_lacerata
BLANKAT01_TPI_RUN1,482,0.00,BLANKAT01_RUN1,blank,blank
BLANKAT02_TPI_RUN1,482,0.00,BLANKAT02_RUN1,blank,blank
DA01T_TPI,475,0.67,DA01T,da,dictyota_acutiloba
CS02T_TPI,480,0.76,CS02T,cs,caulerpa_sertularioides
GS04T_TPI,476,3.24,GS04T,gs,gracilaria_salicornia
SF02T_TPI,475,0.81,SF02T,sf,spyridia_filamentosa
AV03T_TPI,475,4.97,AV03T,av,avrainvillea_lacerata
AS01T_TPI,481,1.13,AS01T,as,acanthophora_spicifera
CS04T_TPI,481,1.64,CS04T,cs,caulerpa_sertularioides
DA03T_TPI,481,0.21,DA03T,da,dictyota_acutiloba
SF03T_TPI,471,4.91,SF03T,sf,spyridia_filamentosa
BLANKAT01_TPI_RUN2,482,0.00,BLANKAT01_RUN2,blank,blank
AV01T_TPI,475,9.07,AV01T,av,avrainvillea_lacerata
SF04T_TPI,471,3.25,SF04T,sf,spyridia_filamentosa
CS01T_TPI,479,0.75,CS01T,cs,caulerpa_sertularioides
BLANKAT02_TPI_RUN2,482,0.00,BLANKAT02_RUN2,blank,blank
AV04T_TPI,471,8.05,AV04T,av,avrainvillea_lacerata
GS01T_TPI,477,4.36,GS01T,gs,gracilaria_salicornia
AS02T_TPI,481,0.44,AS02T,as,acanthophora_spicifera
BLANKAT01_TPI_RUN3,482,0.00,BLANKAT01_RUN3,blank,blank
CS03T_TPI,480,1.30,CS03T,cs,caulerpa_sertularioides
HD01T_TPI,476,5.46,HD01T,hd,halimeda_discoidea
SF05T_TPI,481,0.25,SF05T,sf,spyridia_filamentosa
AS04T_TPI,480,1.17,AS04T,as,acanthophora_spicifera
GS03T_TPI,481,2.28,GS03T,gs,gracilaria_salicornia
HD02T_TPI,479,4.16,HD02T,hd,halimeda_discoidea
AV05T_TPI,481,1.01,AV05T,av,avrainvillea_lacerata
CS05T_TPI,481,0.85,CS05T,cs,caulerpa_sertularioides
AS05T_TPI,482,0.49,AS05T,as,acanthophora_spicifera
BLANKAT02_TPI_RUN3,482,0.00,BLANKAT02_RUN3,blank,blank
DA02T_TPI,478,1.36,DA02T,da,dictyota_acutiloba
