date,start_time,stop_time,algae_id,species,sample_id,file_id_csv,light_dark,run_block,blank,chamber_channel,light_level,light_value
2026-02-02,14:00,14:15,DA04T,da,DA04T_TPI,DA04T_TPI_RUN1_O2.csv,light,run1,0,1,1,0
2026-02-02,14:00,14:15,GS02T,gs,GS02T_TPI,GS02T_TPI_RUN1_O2.csv,light,run1,0,2,1,0
2026-02-02,14:00,14:15,AS03T,as,AS03T_TPI,AS03T_TPI_RUN1_O2.csv,light,run1,0,3,1,0
2026-02-02,14:00,14:15,SF01T,sf,SF01T_TPI,SF01T_TPI_RUN1_O2.csv,light,run1,0,4,1,0
2026-02-02,14:00,14:15,AV02T,av,AV02T_TPI,AV02T_TPI_RUN1_O2.csv,light,run1,0,5,1,0
2026-02-02,14:00,14:15,BLANKAT01_RUN1,blank,BLANKAT01_TPI_RUN1,BLANKAT01_TPI_RUN1_O2.csv,light,run1,1,6,1,0
2026-02-02,14:00,14:15,BLANKAT02_RUN1,blank,BLANKAT02_TPI_RUN1,BLANKAT02_TPI_RUN1_O2.csv,light,run1,1,7,1,0
2026-02-02,14:00,14:15,DA01T,da,DA01T_TPI,DA01T_TPI_RUN1_O2.csv,light,run1,0,8,1,0
2026-02-02,14:00,14:15,CS02T,cs,CS02T_TPI,CS02T_TPI_RUN1_O2.csv,light,run1,0,9,1,0
2026-02-02,14:00,14:15,GS04T,gs,GS04T_TPI,GS04T_TPI_RUN1_O2.csv,light,run1,0,10,1,0
2026-02-02,14:00,14:15,SF02T,sf,SF02T_TPI,SF02T_TPI_RUN1_O2.csv,light,run1,0,11,1,0
2026-02-02,14:00,14:15,AV03T,av,AV03T_TPI,AV03T_TPI_RUN1_O2.csv,light,run1,0,12,1,0
2026-02-02,14:20,14:35,DA04T,da,DA04T_TPI,DA04T_TPI_RUN1_O2.csv,light,run1,0,1,2,95
2026-02-02,14:20,14:35,GS02T,gs,GS02T_TPI,GS02T_TPI_RUN1_O2.csv,light,run1,0,2,2,95
2026-02-02,14:20,14:35,AS03T,as,AS03T_TPI,AS03T_TPI_RUN1_O2.csv,light,run1,0,3,2,95
2026-02-02,14:20,14:35,SF01T,sf,SF01T_TPI,SF01T_TPI_RUN1_O2.csv,light,run1,0,4,2,95
2026-02-02,14:20,14:35,AV02T,av,AV02T_TPI,AV02T_TPI_RUN1_O2.csv,light,run1,0,5,2,95
2026-02-02,14:20,14:35,BLANKAT01_RUN1,blank,BLANKAT01_TPI_RUN1,BLANKAT01_TPI_RUN1_O2.csv,light,run1,1,6,2,95
2026-02-02,14:20,14:35,BLANKAT02_RUN1,blank,BLANKAT02_TPI_RUN1,BLANKAT02_TPI_RUN1_O2.csv,light,run1,1,7,2,95
2026-02-02,14:20,14:35,DA01T,da,DA01T_TPI,DA01T_TPI_RUN1_O2.csv,light,run1,0,8,2,95
2026-02-02,14:20,14:35,CS02T,cs,CS02T_TPI,CS02T_TPI_RUN1_O2.csv,light,run1,0,9,2,95
2026-02-02,14:20,14:35,GS04T,gs,GS04T_TPI,GS04T_TPI_RUN1_O2.csv,light,run1,0,10,2,95
2026-02-02,14:20,14:35,SF02T,sf,SF02T_TPI,SF02T_TPI_RUN1_O2.csv,light,run1,0,11,2,95
