date,location,transect,transect_point,sample_time,temp_c,salinity_ppt,depth_cm,lat_dd,long_dd,lat_maunal_converted_dd,long_manual_converted_dd
2026-01-19,inshore,1,0,10:59:34,23.9,35.5,21,21.28181,157.73219,21.28181,157.73219
2026-01-19,inshore,1,2,11:01:29,24.0,35.5,25,21.28180,157.73217,21.28180,157.73218
2026-01-19,inshore,1,4,11:02:56,24.0,35.4,26,21.28180,157.73215,21.28180,157.73216
2026-01-19,inshore,1,6,11:04:53,24.0,35.4,27,21.28180,157.73215,21.28180,157.73215
2026-01-19,inshore,1,8,11:06:10,24.1,35.4,29,21.28179,157.73213,21.28179,157.73213
2026-01-19,inshore,1,10,11:07:20,24.0,35.4,33,21.28179,157.73211,21.28179,157.73211
2026-01-19,inshore,1,12,11:08:24,24.1,35.4,27,21.28178,157.73208,21.28178,157.73208
2026-01-19,inshore,1,14,11:09:30,24.1,35.4,25,21.28177,157.73207,21.28177,157.73207
2026-01-19,inshore,1,16,11:10:31,24.1,35.4,29,21.28176,157.73205,21.28176,157.73205
2026-01-19,inshore,1,18,11:11:49,24.1,35.4,35,21.28175,157.73203,21.28176,157.73203
2026-01-19,inshore,1,20,11:14:08,24.1,35.3,35,21.28175,157.73202,21.28175,157.73202
2026-01-19,inshore,1,22,11:15:34,24.1,35.1,41,21.28174,157.73200,21.28174,157.73199
2026-01-19,inshore,1,24,11:16:29,24.2,35.1,39,21.28173,157.73198,21.28173,157.73198
2026-01-19,inshore,1,26,11:17:15,24.2,35.1,35,21.28173,157.73196,21.28173,157.73196
2026-01-19,inshore,1,28,11:18:35,24.2,35.1,40,21.28173,157.73194,21.28173,157.73195
2026-01-19,inshore,1,30,11:19:27,24.2,35.1,35,21.28173,157.73193,21.28173,157.73193
2026-01-19,inshore,2,0,11:26:48,24.3,35.2,35,21.28173,157.73192,21.28173,157.73192
2026-01-19,inshore,2,2,11:28:06,24.3,35.2,35,21.28173,157.73192,21.28173,157.73192
2026-01-19,inshore,2,4,11:29:14,24.3,35.2,32,21.28173,157.73191,21.28173,157.73192
2026-01-19,inshore,2,6,11:30:01,24.4,35.3,33,21.28172,157.73189,21.28172,157.73190
2026-01-19,inshore,2,8,11:31:20,24.4,35.3,33,21.28172,157.73189,21.28172,157.73189
2026-01-19,inshore,2,10,11:32:26,24.4,35.3,31,21.28172,157.73188,21.28172,157.73188
2026-01-19,inshore,2,12,11:33:42,24.4,35.4,32,21.28171,157.73186,21.28171,157.73186
